BIOCHAR,RATE,REPLICATION,pH,EC,TOTAL N,TOTAL P,TOTAL K,TOC,CFU@30 CORRECTED FINAL,CFU@60 CORRECTED FINAL,CFU@90 CORRECTED FINAL,CFU@120 CORRECTED FINAL
CSD,0,1,4.28,1765,1.12,422,757,57.87,8.50E+09,5.45E+09,5.88E+09,1.34E+09
CSD,0,2,4.3,1597,1.13,262,772,57.84,8.83E+09,5.28E+09,5.88E+09,1.21E+09
CSD,0,3,4.34,1592,1.14,259,762,57.86,6.25E+09,5.45E+09,5.75E+09,1.22E+09
CSD,2,1,4.46,1820,1.13,510,780,57.77,1.20E+10,7.67E+09,5.50E+09,1.32E+09
CSD,2,2,4.33,1860,1.14,403,751,57.86,1.20E+10,6.00E+09,5.50E+09,1.31E+09
CSD,2,3,4.45,1690,1.13,283,787,57.85,1.20E+10,6.17E+09,6.50E+09,1.35E+09
CSD,4,1,4.72,1783,1.13,346,755,57.77,1.18E+10,9.00E+09,6.25E+09,1.29E+09
CSD,4,2,4.58,1785,1.14,482,1194,57.8,1.01E+10,9.00E+09,6.25E+09,1.11E+09
CSD,4,3,4.7,1766,1.1,501,781,57.77,1.20E+10,8.67E+09,6.25E+09,1.11E+09
CSD,6,1,4.47,1958,1.1,378,1159,57.63,9.67E+09,4.35E+09,7.63E+09,1.17E+09
CSD,6,2,4.37,2120,1.15,544,785,57.68,8.75E+09,4.10E+09,7.50E+09,9.63E+08
CSD,6,3,4.44,2120,1.13,591,766,57.76,8.75E+09,4.18E+09,8.88E+09,9.75E+08
CSH(M),0,1,4.28,1765,1.12,422,757,57.87,8.50E+09,5.45E+09,5.88E+09,1.34E+09
CSH(M),0,2,4.3,1597,1.13,262,772,57.84,8.83E+09,5.28E+09,5.88E+09,1.21E+09
CSH(M),0,3,4.34,1592,1.14,259,762,57.86,6.25E+09,5.45E+09,5.75E+09,1.22E+09
CSH(M),2,1,4.4,2020,1.12,262,770,57.75,1.06E+10,7.98E+09,5.75E+09,1.28E+09
CSH(M),2,2,4.38,1927,1.14,285,751,57.8,1.08E+10,8.15E+09,5.75E+09,1.26E+09
CSH(M),2,3,4.48,1911,1.16,199,762,57.82,1.18E+10,8.15E+09,5.75E+09,1.15E+09
CSH(M),4,1,4.54,1759,1.12,390,786,57.79,8.83E+09,6.50E+09,8.75E+09,1.13E+09
CSH(M),4,2,4.62,1660,1.1,437,759,57.84,9.00E+09,1.18E+10,8.50E+09,9.80E+08
CSH(M),4,3,4.6,1756,1.08,280,757,57.77,8.67E+09,6.17E+09,8.75E+09,8.75E+08
CSH(M),6,1,4.66,1737,1.08,547,790,57.76,9.84E+09,6.00E+09,6.00E+09,1.06E+09
CSH(M),6,2,4.64,1950,1.09,480,780,57.78,1.58E+10,6.09E+09,5.50E+09,7.48E+08
CSH(M),6,3,4.74,1618,1.07,356,765,57.77,1.08E+10,6.00E+09,6.50E+09,1.06E+09
CCC,0,1,4.28,1765,1.12,422,757,57.87,8.50E+09,5.45E+09,5.88E+09,1.34E+09
CCC,0,2,4.3,1597,1.13,262,772,57.84,8.83E+09,5.28E+09,5.88E+09,1.21E+09
CCC,0,3,4.34,1592,1.14,259,762,57.86,6.25E+09,5.45E+09,5.75E+09,1.22E+09
CCC,2,1,4.34,2330,1.15,799,1152,57.69,1.18E+10,8.83E+09,5.75E+09,7.33E+08
CCC,2,2,4.37,2280,1.2,495,1154,57.64,9.25E+09,9.00E+09,6.50E+09,1.72E+09
CCC,2,3,4.32,2170,1.18,376,1164,57.67,1.18E+10,9.00E+09,5.50E+09,2.00E+08
CCC,4,1,4.82,2590,1.16,1021,1198,57.56,1.02E+10,6.25E+09,6.00E+09,9.51E+08
CCC,4,2,4.91,2550,1.11,404,1156,57.54,1.08E+10,1.15E+10,6.25E+09,9.90E+08
CCC,4,3,4.97,2500,1.16,672,1538,57.16,1.18E+10,6.50E+09,5.50E+09,9.50E+08
CCC,6,1,5.06,2950,1.11,1079,1605,56.92,9.83E+09,7.67E+09,7.50E+09,1.41E+09
CCC,6,2,5.1,2890,1.06,1086,1571,56.84,8.17E+09,6.00E+09,8.75E+09,1.60E+09
CCC,6,3,5.09,3070,1.12,595,1983,56.55,8.17E+09,6.17E+09,5.75E+09,1.60E+09
CRH,0,1,4.28,1765,1.12,422,757,57.87,8.50E+09,5.45E+09,5.88E+09,1.34E+09
CRH,0,2,4.3,1597,1.13,262,772,57.84,8.83E+09,5.28E+09,5.88E+09,1.21E+09
CRH,0,3,4.34,1592,1.14,259,762,57.86,6.25E+09,5.45E+09,5.75E+09,1.22E+09
CRH,2,1,4.6,1740,1.17,413,776,56.56,9.17E+09,5.15E+09,5.75E+09,1.28E+09
CRH,2,2,4.55,1631,1.17,324,787,56.59,8.67E+09,5.15E+09,5.75E+09,1.11E+09
CRH,2,3,4.43,1736,1.07,372,1151,56.44,9.33E+09,4.82E+09,5.75E+09,1.11E+09
CRH,4,1,4.56,1707,1.16,432,755,55.9,1.17E+10,5.83E+09,6.00E+09,1.13E+09
CRH,4,2,4.65,1751,1.13,426,762,55.79,9.50E+09,5.75E+09,5.75E+09,1.14E+09
CRH,4,3,4.43,1613,1.2,586,757,55.15,1.18E+10,7.42E+09,5.75E+09,1.13E+09
CRH,6,1,4.84,1572,1.11,415,779,54.81,8.00E+09,5.70E+09,1.20E+10,1.59E+09
CRH,6,2,4.75,1227,1.07,597,771,53.43,8.17E+09,5.70E+09,6.25E+09,1.24E+09
CRH,6,3,5.18,1738,1,825,753,52.26,7.50E+09,5.62E+09,6.00E+09,1.58E+09
